s_codigo_cf,fecha,hora,reg_val,time_s
em-ciep-01,191120,174304,1,17:43:04
em-ciep-01,191120,174312,0,17:43:12
em-ciep-01,191120,174320,1,17:43:20
em-ciep-01,191120,174328,0,17:43:28
em-ciep-01,191120,174336,1,17:43:36
em-ciep-01,191120,174344,0,17:43:44
em-ciep-01,191120,174352,1,17:43:52
em-ciep-01,191120,174400,0,17:44:00
em-ciep-01,191120,174408,1,17:44:08
em-ciep-01,191120,174416,0,17:44:16
em-ciep-01,191120,174424,1,17:44:24
em-ciep-01,191120,174432,0,17:44:32
em-ciep-01,191120,174440,1,17:44:40
em-ciep-01,191120,174448,0,17:44:48
em-ciep-01,191120,174456,1,17:44:56
em-ciep-01,191120,174504,0,17:45:04
em-ciep-01,191120,174512,1,17:45:12
em-ciep-01,191120,174520,0,17:45:20
em-ciep-01,191120,174528,1,17:45:28
em-ciep-01,191120,174536,0,17:45:36
em-ciep-01,191120,174313,0,17:43:13
em-ciep-01,191120,174321,2,17:43:21
em-ciep-01,191120,174329,2,17:43:29
em-ciep-01,191120,174337,1,17:43:37
em-ciep-01,191120,174345,0,17:43:45
em-ciep-01,191120,174353,0,17:43:53
em-ciep-01,191120,174401,0,17:44:01
em-ciep-01,191120,174409,0,17:44:09
em-ciep-01,191120,174417,0,17:44:17
em-ciep-01,191120,174425,0,17:44:25
em-ciep-01,191120,174433,0,17:44:33
em-ciep-01,191120,174441,0,17:44:41
em-ciep-01,191120,174449,0,17:44:49
em-ciep-01,191120,174457,0,17:44:57
em-ciep-01,191120,174505,0,17:45:05
em-ciep-01,191120,174513,0,17:45:13
em-ciep-01,191120,174521,0,17:45:21
em-ciep-01,191120,174529,0,17:45:29
em-ciep-01,191120,174537,0,17:45:37
em-ciep-01,191120,174545,0,17:45:45
em-ciep-01,191120,174553,1,17:45:53
em-ciep-01,191120,174601,0,17:46:01
em-ciep-01,191120,174609,0,17:46:09
em-ciep-01,191120,174617,1,17:46:17
em-ciep-01,191120,174625,1,17:46:25
em-ciep-01,191120,174633,1,17:46:33
em-ciep-01,191120,174641,0,17:46:41
em-ciep-01,191120,174649,0,17:46:49
em-ciep-01,191120,174657,1,17:46:57
em-ciep-01,191120,174705,1,17:47:05
em-ciep-01,191120,174713,1,17:47:13
em-ciep-01,191120,174721,1,17:47:21
em-ciep-01,191120,174729,1,17:47:29
em-ciep-01,191120,174737,0,17:47:37
em-ciep-01,191120,174745,1,17:47:45
em-ciep-01,191120,174753,1,17:47:53
em-ciep-01,191120,174801,1,17:48:01
em-ciep-01,191120,174809,1,17:48:09
em-ciep-01,191120,174817,1,17:48:17
em-ciep-01,191120,174825,1,17:48:25
em-ciep-01,191120,174833,0,17:48:33
em-ciep-01,191120,174841,0,17:48:41
em-ciep-01,191120,174849,0,17:48:49
em-ciep-01,191120,174857,0,17:48:57
em-ciep-01,191120,174905,0,17:49:05
em-ciep-01,191120,174913,0,17:49:13
em-ciep-01,191120,174921,0,17:49:21
em-ciep-01,191120,174929,0,17:49:29
em-ciep-01,191120,174937,1,17:49:37
em-ciep-01,191120,174945,0,17:49:45
em-ciep-01,191120,174953,0,17:49:53
em-ciep-01,191120,175001,1,17:50:01
em-ciep-01,191120,175009,1,17:50:09
em-ciep-01,191120,175017,0,17:50:17
em-ciep-01,191120,175025,0,17:50:25
em-ciep-01,191120,175033,0,17:50:33
em-ciep-01,191120,175041,0,17:50:41
em-ciep-01,191120,175049,0,17:50:49
em-ciep-01,191120,175057,0,17:50:57
em-ciep-01,191120,175105,0,17:51:05
em-ciep-01,191120,175113,0,17:51:13
em-ciep-01,191120,175121,0,17:51:21
em-ciep-01,191120,175129,0,17:51:29
em-ciep-01,191120,175137,0,17:51:37
em-ciep-01,191120,175145,0,17:51:45
em-ciep-01,191120,175153,0,17:51:53
em-ciep-01,191120,175201,1,17:52:01
em-ciep-01,191120,175209,1,17:52:09
em-ciep-01,191120,175217,0,17:52:17
em-ciep-01,191120,175225,0,17:52:25
em-ciep-01,191120,175233,0,17:52:33
em-ciep-01,191120,175241,0,17:52:41
em-ciep-01,191120,175249,0,17:52:49
em-ciep-01,191120,175257,0,17:52:57
em-ciep-01,191120,175305,0,17:53:05
em-ciep-01,191120,175313,0,17:53:13
em-ciep-01,191120,175321,0,17:53:21
em-ciep-01,191120,175329,1,17:53:29
em-ciep-01,191120,175337,0,17:53:37
em-ciep-01,191120,175345,0,17:53:45
em-ciep-01,191120,175353,0,17:53:53
em-ciep-01,191120,175401,1,17:54:01
em-ciep-01,191120,175409,1,17:54:09
em-ciep-01,191120,175417,1,17:54:17
em-ciep-01,191120,175425,1,17:54:25
em-ciep-01,191120,175433,1,17:54:33
em-ciep-01,191120,175441,1,17:54:41
em-ciep-01,191120,175449,1,17:54:49
em-ciep-01,191120,175457,1,17:54:57
em-ciep-01,191120,175505,1,17:55:05
em-ciep-01,191120,175513,1,17:55:13
em-ciep-01,191120,175521,1,17:55:21
em-ciep-01,191120,175529,1,17:55:29
em-ciep-01,191120,175537,1,17:55:37
em-ciep-01,191120,175545,1,17:55:45
em-ciep-01,191120,175553,1,17:55:53
em-ciep-01,191120,175601,0,17:56:01
em-ciep-01,191120,175609,1,17:56:09
em-ciep-01,191120,175617,1,17:56:17
em-ciep-01,191120,175625,0,17:56:25
em-ciep-01,191120,175633,0,17:56:33
em-ciep-01,191120,175641,0,17:56:41
em-ciep-01,191120,175649,0,17:56:49
em-ciep-01,191120,175657,1,17:56:57
em-ciep-01,191120,175705,1,17:57:05
em-ciep-01,191120,175713,1,17:57:13
em-ciep-01,191120,175721,1,17:57:21
em-ciep-01,191120,175729,1,17:57:29
em-ciep-01,191120,175737,1,17:57:37
em-ciep-01,191120,175745,0,17:57:45
em-ciep-01,191120,175753,1,17:57:53
em-ciep-01,191120,175801,1,17:58:01
em-ciep-01,191120,175809,0,17:58:09
em-ciep-01,191120,175817,0,17:58:17
em-ciep-01,191120,175825,0,17:58:25
